lemma	id	animacy	definiteness
abies	688	+animado	-humano
acies	1189	-animado	+definido
adiutor	690	+animado	+humano
adulescentia	1061	-animado	-definido
adventus	692	-animado	-definido
adversa	323	-animado	-definido
adversarius	1135	+animado	+humano
adversitas	324	-animado	-definido
aedes	1190	-animado	+definido
aedificium	501	-animado	+definido
aegritudo	325	-animado	-definido
aequitas	1136	-animado	-definido
aes	326	-animado	+definido
aestus	695	-animado	+definido
aetas	1191	-animado	-definido
aeternitas	327	-animado	-definido
Aethiopia	1137	lugar	
ager	433	-animado	+definido
agmen	774	+animado	+humano
agnus	434	+animado	-humano
Agricola	1138	+animado	+humano
agricola	863	+animado	+humano
Agrippa	860	+animado	+humano
ala	396	-animado	+definido
alacritas	696	-animado	-definido
Alcibiades	1139	+animado	+humano
ambulatio	1193	-animado	-definido
amicitia	397	-animado	-definido
amissio	328	-animado	-definido
amplitudo	697	-animado	-definido
ancora	698	-animado	+definido
angustia	699	-animado	-definido
anima	329	-animado	-definido
animal	1140	+animado	-humano
animus	435	-animado	-definido
Annibal	330	+animado	+humano
annus	332	-animado	-definido
ansa	331	-animado	+definido
anser	700	+animado	-humano
Antonius	1194	+animado	+humano
anulus	1141	-animado	+definido
aqua	333	-animado	+definido
ara	1142	-animado	+definido
aratrum	502	-animado	+definido
arbiter	701	+animado	+humano
arbor	1195	+animado	-humano
argentum	465	-animado	+definido
argilla	702	-animado	+definido
argumentatio	336	-animado	-definido
argumentator	337	+animado	+humano
argumentum	338	-animado	-definido
Ariovistus	1143	+animado	+humano
arma	466	-animado	+definido
armati	703	+animado	+humano
arvum	1144	-animado	+definido
assertio	334	-animado	-definido
Atlas	1145	+animado	+humano
auctoritas	704	-animado	-definido
audacia	335	-animado	-definido
augur	339	+animado	+humano
auriga	687	+animado	+humano
auris	1196	-animado	+definido
aurum	467	-animado	+definido
auxilium	705	-animado	-definido
Averna	340	lugar	
avis	1146	+animado	-humano
avus	706	+animado	+humano
bacula	341	-animado	+definido
Baetica	342	lugar	
balteolus	343	-animado	+definido
balteum	345	-animado	+definido
barba	346	-animado	+definido
basilica	348	-animado	+definido
basium	349	-animado	+definido
beatitas	350	-animado	-definido
beatitudo	351	-animado	-definido
Belgae	352	+animado	+humano
Belgium	353	lugar	
bellum	354	-animado	-definido
benedictio	355	-animado	-definido
benefactum	1147	-animado	-definido
benevolentia	710	-animado	-definido
bibliotheca	356	lugar	
bibliothecarius	357	+animado	+humano
biduum	712	-animado	-definido
biennium	711	-animado	-definido
Bithynia	358	lugar	
blanditia	359	-animado	-definido
Boeotia	360	lugar	
bos	362	+animado	-humano
bracchium	363	-animado	+definido
brevarium	713	-animado	-definido
brevitas	364	-animado	-definido
bruma	365	-animado	-definido
