id	lila_id	Headword 	Definition 	Part of Speech 	Semantic Group 	Frequency Rank
DCC001	lilaLemma:101542	et 	and 	Conjunction 	Conjunctions/Adverbs 	1
DCC002	lilaLemma:126689	sum esse fuī futūrum 	"be, exist; fut. infin. often = fore, impf. subj. often = forem for essem "	Verb: Irregular 	Life and Being 	2
DCC003	lilaLemma:121354	quī quae quod 	who, which, what 	Pronoun 	Pronouns/Interrogatives 	3
DCC004	lilaLemma:131416	que 	and (postpositive enclitic) 	Conjunction 	Conjunctions/Adverbs 	4
DCC005	lilaLemma:106748	in 	"in, on (+ abl.); into, onto (+ acc) "	Preposition 	Place 	5
DCC006	lilaLemma:114108	nōn 	not 	Adverb 	Conjunctions/Adverbs 	6
DCC007	lilaLemma:105455	hic haec hoc 	this, these 	Pronoun 	Pronouns/Interrogatives 	7
DCC008	lilaLemma:106221	ille illa illud 	that 	Pronoun 	Pronouns/Interrogatives 	8
DCC009	lilaLemma:129131	tū tuī tibi tē 	you (sing.) 	Pronoun 	Pronouns/Interrogatives 	9
DCC010	lilaLemma:97201	cum 	"with (prep. + abl.); when, since, although (conjunction + subj.) "	Preposition 	Conjunctions/Adverbs 	10
DCC011	lilaLemma:100712	ego meī mihi mē 	I, me 	Pronoun 	Pronouns/Interrogatives 	11
DCC012	lilaLemma:121315	quisquam quicquam/quidquam 	any (single) person, anyone at all 	Pronoun 	Pronouns/Interrogatives 	12
DCC013	lilaLemma:109083	is ea id 	he, she, it 	Pronoun 	Pronouns/Interrogatives 	13
DCC014	lilaLemma:87344	ad 	to, up to, towards (+acc.) 	Preposition 	Place 	14
DCC015	lilaLemma:130905	ut, utī 	"as (+ indic.); so that, with the result that (+ subj.); (in questions) in what manner, how; (exclam.) to what an extent! how! "	Adverb 	Conjunctions/Adverbs 	15
DCC016	lilaLemma:124676	sī 	if 	Conjunction 	Conjunctions/Adverbs 	16
DCC017	lilaLemma:131255	sui sibi sē/sēsē 	him- her- itself, themselves 	Pronoun 	Pronouns/Interrogatives 	17
DCC018	lilaLemma:114954	omnis -e 	all, every, as a whole 	Adjective: 3rd Declension	Measurement 	18
DCC019	lilaLemma:113512	nec 	"and not, nor; nec ... nec, neither ... nor; → neque "	Conjunction 	Conjunctions/Adverbs 	19
DCC020	lilaLemma:123994	sed 	but 	Conjunction 	Conjunctions/Adverbs 	20
DCC021	lilaLemma:86824	ā ab abs 	from, by (+abl.) 	Preposition 	Place 	21
DCC022	lilaLemma:108945	ipse ipsa ipsum 	him- her- itself 	Pronoun 	Pronouns/Interrogatives 	22
DCC023	lilaLemma:118569	possum posse potuī 	be able 	Verb: Irregular 	Making/Doing 	23
DCC024	lilaLemma:90827	aut 	or 	Conjunction 	Conjunctions/Adverbs 	24
DCC025	lilaLemma:111319	māgnus -a -um 	great 	Adjective: 1st and 2nd Declension	Measurement 	25
DCC026	lilaLemma:101716	ex, ē 	out of, from (+ abl.) 	Preposition 	Place 	26
DCC027	lilaLemma:127165	suus -a -um 	his own, her own, its own 	Adjective: 1st and 2nd Declension	Pronouns/Interrogatives 	27
DCC028	lilaLemma:99970	dō dare dedī datum 	give 	Verb: 1st Conjugation	Social Life 	28
DCC029	lilaIpoLemma:110471	quam 	"how?; (after comparative) than "	Adverb 	Pronouns/Interrogatives 	29
DCC030	lilaLemma:116569	per 	through (+acc.) 	Preposition 	Place 	30
DCC031	lilaLemma:130163	videō vidēre vīdī vīsum 	see 	Verb: 2nd Conjugation	Vision 	31
DCC032	lilaLemma:102758	faciō facere fēcī factum 	do, make 	Verb: 3rd Conjugation -iō	Making/Doing 	32
DCC033	lilaLemma:99302	dīcō dīcere dīxī dictum 	"say; causam dīcere, plead a case; diem dīcere, appoint a day "	Verb: 3rd Conjugation -ō	Speech/Oratory 	33
DCC034	lilaLemma:106025	iam 	"now; already "	Adverb 	Time 	34
DCC035	lilaLemma:90490	atque 	"and in addition, and also, and; (after comparatives) than; simul atque, as soon as; → ac "	Conjunction 	Conjunctions/Adverbs 	35
DCC036	lilaLemma:90490	ac 	"and in addition, and also, and; (after comparatives) than; simul ac, as soon as; → atque "	Conjunction 	Conjunctions/Adverbs 	36
DCC037	lilaLemma:88481	alius -a -ud 	"other, another; ālias: at another time "	Adjective: 1st and 2nd Declension	Pronouns/Interrogatives 	37
DCC038	lilaLemma:121868	rēs reī f. 	"thing (rēs pūblica, commonwealth; rēs familiāris, family property, estate; rēs mīlitāris, art of war; rēs novae, revolution) "	Noun: 5th Declension	Life and Being 	38
DCC039	lilaLemma:105044	habeō habēre habuī habitum 	have, hold 	Verb: 2nd Conjugation	Other Senses 	39
DCC040	lilaLemma:89094	animus -ī m. 	spirit, mind 	Noun: 2nd Declension	Life and Being 	40
DCC041	lilaLemma:112262	meus -a -um 	my 	Pronoun 	Pronouns/Interrogatives 	41
DCC042	lilaLemma:99132	"deus -ī m.; dea -ae f. "	"god; goddess "	Noun: 2nd Declension	Religion 	42
DCC043	lilaLemma:112998	multus -a -um 	"much, many; multō, by far "	Adjective: 1st and 2nd Declension	Measurement 	43
DCC044	lilaLemma:129328	tuus -a -um 	your 	Adjective: 1st and 2nd Declension	Pronouns/Interrogatives 	44
DCC045	lilaLemma:103126	ferō ferre tulī lātum 	bear, carry, endure 	Verb: Irregular 	Verbs of Transport 	45
DCC046	lilaLemma:97932	dē 	down from, about, concerning (+ abl.) 	Preposition 	Place 	46
DCC047	lilaLemma:113491	nē 	lest, that not 	Conjunction 	Conjunctions/Adverbs 	47
DCC048	lilaLemma:111585	manus -ūs f. 	"hand; band of men "	Noun: 4th Declension	The Body 	48
DCC049	lilaLemma:114081	nūllus -a -um 	not any, no one 	Adjective: 1st and 2nd Declension	Pronouns/Interrogatives 	49
DCC050	lilaLemma:113990	nunc 	now 	Adverb 	Time 	50
DCC051	lilaIpoLemma:110487	nōs nostrum/nostrī nōbīs nōs 	we 	Pronoun 	Pronouns/Interrogatives 	51
DCC052	lilaLemma:113882	noster nostra nostrum 	our 	Pronoun 	Pronouns/Interrogatives 	52
DCC053	lilaLemma:85636	ūnus -a -um 	one 	Adjective: 1st and 2nd Declension	Measurement 	53
DCC054	lilaLemma:99334	diēs diēī m./f. 	day 	Noun: 5th Declension	Lengths of Time 	54
DCC055	lilaLemma:114071	nihil, nīl 	"nothing; not at all "	Noun: Indeclinable 	Measurement 	55
DCC056	lilaLemma:129198	tum or tunc 	then 	Adverb 	Time 	56
DCC057	lilaLemma:101119	enim 	for, indeed 	Conjunction 	Pronouns/Interrogatives 	57
DCC058	lilaLemma:127607	tamen 	nevertheless, still 	Conjunction 	Conjunctions/Adverbs 	58
DCC059	lilaLemma:109082	īdem eadem idem 	the same 	Pronoun 	Pronouns/Interrogatives 	59
DCC060	lilaLemma:122013	rēx rēgis m. 	king 	Noun: 3rd Declension	The City 	60
DCC061	lilaLemma:113344	nam or namque 	for, indeed, really 	Conjunction 	Conjunctions/Adverbs 	61
